price,predicted_price
647.62,637.717277354703
406.0,646.8930816569537
329.0,646.8930816569537
753.33,637.717277354703
574.0,646.8930816569537
824.0,646.8930816569537
653.0,646.8930816569537
399.0,646.8930816569537
648.5614647631621,637.717277354703
363.0,646.8930816569537
685.0,646.8930816569537
364.0,646.8930816569537
399.0,646.8930816569537
657.0,646.8930816569537
771.0,646.8930816569537
544.0,646.8930816569537
329.0,646.8930816569537
399.0,646.8930816569537
458.0,646.8930816569537
886.0,646.8930816569537
517.0,646.8930816569537
666.0,646.8930816569537
376.0,646.8930816569537
570.48,637.717277354703
499.0,646.8930816569537
582.0,646.8930816569537
299.0,646.8930816569537
459.0,646.8930816569537
399.0,646.8930816569537
648.5614647631621,637.717277354703
791.0,646.8930816569537
499.0,646.8930816569537
1233.0,646.8930816569537
517.0,646.8930816569537
376.0,646.8930816569537
499.0,646.8930816569537
666.0,646.8930816569537
487.0,646.8930816569537
368.0,646.8930816569537
399.0,646.8930816569537
699.0,646.8930816569537
885.0,646.8930816569537
424.0,646.8930816569537
1126.0,646.8930816569537
788.0,646.8930816569537
759.0,646.8930816569537
1146.0,646.8930816569537
665.0,646.8930816569537
429.0,646.8930816569537
399.0,646.8930816569537
848.0,646.8930816569537
654.0,646.8930816569537
1033.0,646.8930816569537
390.0,646.8930816569537
493.0,646.8930816569537
721.0,646.8930816569537
597.0,646.8930816569537
399.0,646.8930816569537
888.0,646.8930816569537
353.0,646.8930816569537
599.0,646.8930816569537
518.0,646.8930816569537
295.0,646.8930816569537
852.0,646.8930816569537
824.0,646.8930816569537
648.5614647631621,637.717277354703
909.0,646.8930816569537
432.0,646.8930816569537
545.0,646.8930816569537
1146.0,646.8930816569537
696.0,646.8930816569537
432.0,646.8930816569537
631.0,646.8930816569537
316.0,646.8930816569537
362.0,646.8930816569537
329.0,646.8930816569537
399.0,646.8930816569537
751.0,646.8930816569537
791.0,646.8930816569537
684.0,646.8930816569537
1281.0,646.8930816569537
1186.0,646.8930816569537
499.0,646.8930816569537
1105.36,637.717277354703
648.5614647631621,637.717277354703
377.0,646.8930816569537
744.0,646.8930816569537
744.0,646.8930816569537
859.0,646.8930816569537
487.0,646.8930816569537
825.0,646.8930816569537
680.0,646.8930816569537
725.0,646.8930816569537
696.0,646.8930816569537
499.0,646.8930816569537
648.5614647631621,637.717277354703
696.0,646.8930816569537
406.0,646.8930816569537
852.0,646.8930816569537
399.0,646.8930816569537
432.0,646.8930816569537
648.5614647631621,637.717277354703
1338.0,646.8930816569537
472.0,646.8930816569537
788.0,646.8930816569537
832.0,646.8930816569537
399.0,646.8930816569537
599.0,646.8930816569537
692.0,646.8930816569537
518.0,646.8930816569537
788.0,646.8930816569537
318.0,646.8930816569537
597.0,646.8930816569537
888.0,646.8930816569537
406.0,646.8930816569537
1186.0,646.8930816569537
791.0,646.8930816569537
807.0,646.8930816569537
807.0,646.8930816569537
311.0,646.8930816569537
387.0,646.8930816569537
348.0,646.8930816569537
597.0,646.8930816569537
549.0,646.8930816569537
635.0,646.8930816569537
597.0,646.8930816569537
790.0,646.8930816569537
375.0,646.8930816569537
1115.0,646.8930816569537
579.0,646.8930816569537
788.0,646.8930816569537
597.0,646.8930816569537
648.5614647631621,637.717277354703
517.0,646.8930816569537
442.0,646.8930816569537
399.0,646.8930816569537
518.0,646.8930816569537
348.0,646.8930816569537
788.0,646.8930816569537
648.5614647631621,637.717277354703
597.0,646.8930816569537
696.0,646.8930816569537
363.0,646.8930816569537
299.0,646.8930816569537
690.0,646.8930816569537
574.0,646.8930816569537
1399.0,646.8930816569537
999.0,646.8930816569537
999.0,646.8930816569537
487.0,646.8930816569537
376.0,646.8930816569537
1115.0,646.8930816569537
517.0,646.8930816569537
1126.0,646.8930816569537
725.0,646.8930816569537
648.5614647631621,637.717277354703
721.0,646.8930816569537
666.0,646.8930816569537
496.0,646.8930816569537
353.0,646.8930816569537
399.0,646.8930816569537
458.0,646.8930816569537
1115.0,646.8930816569537
845.0,646.8930816569537
399.0,646.8930816569537
648.5614647631621,637.717277354703
517.0,646.8930816569537
517.0,646.8930816569537
599.0,646.8930816569537
487.0,646.8930816569537
487.0,646.8930816569537
568.0,646.8930816569537
399.0,646.8930816569537
295.0,646.8930816569537
484.0,646.8930816569537
626.0,646.8930816569537
563.0,646.8930816569537
387.0,646.8930816569537
463.81,637.717277354703
512.0,646.8930816569537
1112.0,646.8930816569537
626.0,646.8930816569537
376.0,646.8930816569537
859.0,646.8930816569537
597.0,646.8930816569537
329.0,646.8930816569537
583.0,646.8930816569537
665.0,646.8930816569537
582.0,646.8930816569537
1126.0,646.8930816569537
534.0,646.8930816569537
